epoch: 1 | time: 50.94 | Train RMSE: 0.883 | Test RMSE: 0.928
epoch: 6 | time: 240.23 | Train RMSE: 0.695 | Test RMSE: 0.810
epoch: 11 | time: 433.43 | Train RMSE: 0.621 | Test RMSE: 0.783
epoch: 16 | time: 626.75 | Train RMSE: 0.538 | Test RMSE: 0.794
epoch: 21 | time: 862.10 | Train RMSE: 0.474 | Test RMSE: 0.809
epoch: 26 | time: 1074.57 | Train RMSE: 0.415 | Test RMSE: 0.820
epoch: 31 | time: 1277.25 | Train RMSE: 0.397 | Test RMSE: 0.839
epoch: 36 | time: 1472.11 | Train RMSE: 0.347 | Test RMSE: 0.843
epoch: 41 | time: 1668.87 | Train RMSE: 0.287 | Test RMSE: 0.833
epoch: 46 | time: 1864.04 | Train RMSE: 0.282 | Test RMSE: 0.838
epoch: 51 | time: 2058.31 | Train RMSE: 0.257 | Test RMSE: 0.844
epoch: 56 | time: 2253.87 | Train RMSE: 0.260 | Test RMSE: 0.835
epoch: 61 | time: 2455.56 | Train RMSE: 0.241 | Test RMSE: 0.845
epoch: 66 | time: 2654.90 | Train RMSE: 0.224 | Test RMSE: 0.844
epoch: 71 | time: 2853.30 | Train RMSE: 0.235 | Test RMSE: 0.840
epoch: 76 | time: 3051.97 | Train RMSE: 0.209 | Test RMSE: 0.834
epoch: 81 | time: 3252.27 | Train RMSE: 0.196 | Test RMSE: 0.842
epoch: 86 | time: 3447.81 | Train RMSE: 0.202 | Test RMSE: 0.846
epoch: 91 | time: 3646.47 | Train RMSE: 0.213 | Test RMSE: 0.843
epoch: 96 | time: 3849.28 | Train RMSE: 0.206 | Test RMSE: 0.843
epoch: 100 | time: 4010.38 | Train RMSE: 0.193 | Test RMSE: 0.847
